,Date,City,State,Dead,Injured,Total,Description,Year
2450,2017-11-05,Sutherland Springs,Texas,27,22,49,"Sutherland Springs church shooting: A gunman approached the First Baptist Church in Sutherland Springs and killed two people outside before entering and shooting at the congregation, killing 26 people  and injuring 22. He was confronted by a local man with a gun, and they exchanged gunfire before entering a vehicle. The man flagged down another person and they began a high-speed chase of the gunman, which ended when the gunman went off the road and was found dead from a self-inflicted gunshot wound.",2017
2451,2017-10-01,Paradise,Nevada,61,411,472,"2017 Las Vegas shooting: A man on the 32nd floor of a hotel opened fire on a country music festival happening outside, killing 60 people and injuring 867 others, with 411 of them suffering from gunshot wounds. The man then shot himself.",2017
2452,2017-09-24,Antioch,Tennessee,1,8,9,"Burnette Chapel shooting: A man killed a woman outside the Burnette Chapel Church of Christ before entering the chapel and wounding seven others. During a struggle with an usher, the man shot himself in the chest. The usher ran to his car to get his own pistol and held the man at gunpoint until police arrived to arrest him.",2017
2453,2017-09-10,Plano,Texas,9,1,10,"2017 Plano shooting: A man entered his ex-wife's home while she was hosting a football-watching party and killed her and seven others, and wounded one other. He was killed by police.",2017
2454,2017-08-28,Clovis,New Mexico,2,4,6,Clovis library shooting: A sixteen-year-old killed two people and wounded four others at a public library before surrendering to police.,2017
2455,2017-07-01,Little Rock,Arkansas,0,28,28,Little Rock nightclub shooting: Twenty-eight people were injured  when shooting broke out in a nightclub where rapper Finese 2Tymes was performing.,2017
2456,2017-06-30,New York City,New York,2,6,8,Bronx-Lebanon Hospital attack: A former hospital employee killed a doctor and wounded six others before he committed suicide.,2017
2457,2017-06-14,San Francisco,California,4,5,9,"San Francisco UPS shooting: A gunman entered his workplace and singled out coworkers, killing three and wounding five, before committing suicide.",2017
2458,2017-06-14,Alexandria,Virginia,1,6,7,"Congressional baseball shooting: A gunman shot and wounded four people, including Republican Congressman and House Majority Whip Steve Scalise, while they were practicing for the Congressional Baseball Game. Two others were also injured in other ways. The gunman was killed after being engaged by Capitol police officers assigned to protect Scalise and by police officers responding to the scene.",2017
2459,2017-06-08,Eaton Township,Pennsylvania,4,0,4,Eaton Township Weis Markets shooting: An employee of a Weis Markets supermarket who was working a night shift barricaded the exits and killed three coworkers before killing himself.,2017
2460,2017-06-06,Sandy,Utah,3,2,5,"Sandy, Utah attack: A man rammed a vehicle containing his ex-girlfriend, three children and one other adult, opened fire, killing two and wounding two, then committed suicide.",2017
2461,2017-06-05,Orlando,Florida,6,0,6,Orlando factory shooting: A former employee entered the factory through a rear exit and killed five employees and then himself.,2017
2462,2017-05-27,Lincoln County,Mississippi,8,1,9,"2017 Mississippi shootings: A man killed eight people, including several family members and a sheriff's deputy, at three separate houses. He was injured by police and then arrested. The shooter later said he had intended to commit suicide by cop.",2017
2463,2017-05-12,Kirkersville,Ohio,4,0,4,"Kirkersville shooting: After taking two people hostage, a man shot and killed a police officer and two nurses at a nursing home before he killed himself.",2017
2464,2017-04-10,San Bernardino,California,3,1,4,"North Park Elementary School shooting: A man entered an elementary school, telling school administrators he needed to drop something off for his wife. He entered the classroom where she was teaching and killed her, also killing a student and wounding another who were standing nearby. He then killed himself.",2017
2465,2017-03-26,Cincinnati,Ohio,2,16,18,Cincinnati nightclub shooting: Two men were killed and sixteen people were wounded after a fight escalated into a shooting at a crowded nightclub. One person was arrested.,2017
2466,2017-03-22,Schofield and Rothschild,Wisconsin,5,0,5,"2017 Schofield/Rothschild shootings: A man demanded his wife sign divorce papers and after a confrontation, returned to her place of work and shot and killed four people before being killed by the police.",2017
2467,2017-01-06,Broward County,Florida,5,6,11,"Fort Lauderdale airport shooting: A man killed five people and injured six in a shooting at Fort Lauderdale–Hollywood International Airport before running out of ammunition and lying on the ground to surrender to police. Thirty to forty other people were also hurt, with injuries not directly caused by gunfire.",2017
2468,2016-09-28,Townville,South Carolina,2,3,5,Townville Elementary School shooting: A fourteen-year-old shot and killed his father before driving to the local elementary school and injuring three students and a teacher. One student later died of his injuries. The shooter was later arrested.,2016
2469,2016-09-23,Burlington,Washington,5,0,5,Cascade Mall shooting: A man killed five people at the Cascade Mall. He was arrested a day later. The shooter later killed himself while in jail.,2016
2470,2016-08-20,Citronelle,Alabama,6,0,6,2016 Citronelle homicides: A man killed six people  while they were sleeping in a home. He was arrested by police.,2016
2471,2016-07-30,Mukilteo,Washington,3,1,4,2016 Mukilteo shooting: A student at the University of Washington killed three people and injured one other in a shooting at a party. One of the people he killed was his ex-girlfriend. The shooter was arrested and sentenced to life in prison.,2016
2472,2016-07-17,Baton Rouge,Louisiana,5,2,7,"2016 shooting of Baton Rouge police officers: A gunman killed four law enforcement officers, one of whom died in 2022, and injured three others. The gunman was killed by a member of the SWAT team that responded to the shooting. The shooting is believed to have been related to the unrest in Baton Rouge following the shooting of Alton Sterling, and the gunman was involved with black separatist and sovereign citizen organizations.",2016
2473,2016-07-11,St. Joseph,Michigan,3,2,5,St. Joseph courthouse shooting: A handcuffed inmate killed two bailiffs and injured a deputy and another woman after taking a deputy's gun in a courthouse. The inmate was killed by two other bailiffs.,2016
